Id,SalePrice
1461,128610
1462,155322
1463,190220
1464,153060
1465,218075.6
1466,163400
1467,141000
1468,158700
1469,218412.4
1470,110676
1471,187218
1472,88780
1473,88000
1474,147690
1475,133500
1476,597948.58
1477,233846.92
1478,320000
1479,235150
1480,401250
1481,307201.36
1482,200220
1483,176927.08
1484,192418.34
1485,163760
1486,220840
1487,317760
1488,224498
1489,217212
1490,211630
1491,179912
1492,52580
1493,153060
1494,332634
1495,311297.76
1496,204560
1497,192670.4
1498,146269.92
1499,145935.04
1500,80400
1501,159640
1502,167082
1503,382052.82
1504,215146.48
1505,208104
1506,182800
1507,150984
1508,188726
1509,156570
1510,155140
1511,172432
1512,172880
1513,162020
1514,132483
1515,240620
1516,182736
1517,166716
1518,119776.48
1519,230291
1520,144640
1521,167248
1522,166062
1523,105000
1524,130570
1525,75988.44
1526,133200
1527,105194
1528,125214
1529,150760
1530,167276
1531,102648
1532,123348
1533,174980
1534,119760
1535,139680
1536,118200
1537,55000
1538,163780
1539,239031.4
1540,131960
1541,210000
1542,139200
1543,170580
1544,81730
1545,80340
1546,115440
1547,132080
1548,154179.64
1549,122412
1550,153960
1551,102954.4
1552,145904
1553,141719
1554,115080
1555,160470
1556,128180
1557,144280
1558,97284
1559,133430
1560,161560
1561,128023
1562,129900
1563,112700
1564,167192
1565,153830
1566,252920
1567,65536.08
1568,215760
1569,145880
1570,145100
1571,179500
1572,144892
1573,250580
1574,103170
1575,187474
1576,220490
1577,236226.8
1578,181760
1579,141806
1580,189790
1581,156870
1582,128880
1583,311597.28
1584,230420
1585,140000
1586,75547
1587,65800
1588,143234
1589,68817.06
1590,155000
1591,103656
1592,105005.2
1593,116885
1594,173160
1595,134860
1596,225100
1597,161954.12
1598,248320
1599,219136.48
1600,218204.72
1601,89380
1602,109664
1603,105258
1604,275160
1605,250403
1606,161950
1607,119050
1608,190112
1609,215552
1610,165400
1611,145910
1612,161430
1613,140600
1614,125280
1615,77040
1616,86690
1617,88180
1618,116820
1619,130175
1620,90000
1621,80480
1622,145340
1623,314290
1624,216480
1625,128400
1626,208880
1627,194520
1628,274800
1629,172140
1630,280200
1631,210270
1632,229230
1633,168430
1634,171162
1635,188880
1636,140760
1637,151080
1638,208610
1639,200312
1640,220220
1641,193040
1642,225648
1643,208780
1644,216524.72
1645,174200
1646,151210
1647,172200
1648,151350
1649,152980
1650,120056
1651,123990
1652,83160
1653,116100
1654,154840
1655,178962
1656,147840
1657,154840
1658,147860
1659,131228
1660,149470
1661,408200
1662,459706.46
1663,400238.84
1664,367590
1665,335730
1666,316310
1667,412920
1668,313631.38
1669,302846.26
1670,332550
1671,224940
1672,367015
1673,313460
1674,248568
1675,194960
1676,195922
1677,216106
1678,363065
1679,426720
1680,319618.06
1681,281996.4
1682,276462
1683,173490
1684,164990
1685,173990
1686,160084.1
1687,156180
1688,195820
1689,195760
1690,185760
1691,182520
1692,263030
1693,161880
1694,184840
1695,171120
1696,310109
1697,182612
1698,330080
1699,364226
1700,225360
1701,234670
1702,252026
1703,252738
1704,298453.86
1705,233440
1706,454035.78
1707,220355.6
1708,247922
1709,314490
1710,213855.16
1711,290507.12
1712,204210
1713,228080
1714,224200
1715,215642
1716,188911.4
1717,193534.14
1718,104305
1719,225796
1720,285273.52
1721,227310.4
1722,104305
1723,156080
1724,246327.2
1725,220320
1726,189530
1727,178028.64
1728,185045.7
1729,165080
1730,138865.44
1731,118830
1732,147000
1733,126436
1734,123910
1735,139390
1736,117430
1737,287960
1738,216962.72
1739,309850
1740,206840
1741,189134.08
1742,176660
1743,182500.5
1744,316750
1745,281718
1746,327560
1747,205940
1748,240300
1749,145620
1750,175230
1751,223360
1752,125320
1753,158160
1754,189500
1755,155880
1756,114284
1757,128750
1758,159580
1759,167400
1760,172610
1761,174540
1762,192356.4
1763,158150
1764,136285
1765,233738
1766,233225
1767,257200
1768,143780
1769,137374
1770,147092
1771,133680
1772,144650
1773,173720
1774,118890
1775,131921
1776,65990
1777,129640
1778,114840
1779,102304
1780,210312
1781,133800
1782,110650
1783,146764
1784,122678
1785,118788
1786,208500
1787,193906.8
1788,44858.2
1789,68407.2
1790,109904
1791,199487.36
1792,188700
1793,134278
1794,130690
1795,131394
1796,91330
1797,86532
1798,126670
1799,117970
1800,138950
1801,137188
1802,166060
1803,167200
1804,136355.2
1805,125540
1806,109946.24
1807,93460
1808,124960
1809,175080
1810,127974.56
1811,109010
1812,105170
1813,117860
1814,105650
1815,35130.16
1816,107888
1817,151690
1818,135660
1819,114960
1820,102384
1821,126470
1822,210000
1823,49600
1824,137340
1825,124920
1826,66784
1827,117020
1828,137081
1829,119264
1830,177680
1831,165460
1832,131060
1833,188700
1834,174120
1835,159500
1836,135820
1837,111728
1838,149404.16
1839,101752
1840,179000
1841,135722
1842,78060
1843,132000
1844,143320
1845,126390
1846,164691
1847,134340
1848,46230
1849,131989.84
1850,130650
1851,153366.24
1852,141000
1853,173000
1854,183760
1855,114450
1856,191100
1857,113740
1858,143969.58
1859,118858
1860,153233.52
1861,118858
1862,179840
1863,179220
1864,179220
1865,313468.78
1866,313846.34
1867,249192
1868,289952.32
1869,206436
1870,260307
1871,285019.04
1872,170279.6
1873,204455.6
1874,144760
1875,199728.2
1876,171107
1877,186326
1878,207080
1879,135830
1880,136353.6
1881,222462
1882,238360
1883,222180
1884,210198.5
1885,274800
1886,314930
1887,189940
1888,287956.18
1889,156932
1890,165510
1891,143820
1892,123750
1893,133980
1894,101200
1895,139400
1896,129640
1897,159200
1898,120740
1899,128660
1900,144712
1901,167360
1902,115626.36
1903,172160
1904,128900
1905,169186
1906,188700
1907,138862
1908,94500
1909,85676
1910,124240
1911,172582
1912,303623.5
1913,263732.8
1914,71165
1915,392798.72
1916,54670
1917,259270
1918,131280
1919,146780
1920,155590
1921,401482.54
1922,307045.04
1923,263956.4
1924,222660
1925,231770
1926,329931.52
1927,165300
1928,177620
1929,131980
1930,153134.66
1931,139100
1932,155087.28
1933,183216.8
1934,188540
1935,185084
1936,192260
1937,188570
1938,177540
1939,230160
1940,217935.6
1941,174920
1942,187160
1943,179974
1944,309120
1945,379150
1946,166768
1947,321965.86
1948,158100
1949,228038
1950,207000
1951,251642.2
1952,273096
1953,188144
1954,196780
1955,116630
1956,241670.92
1957,166960
1958,333626
1959,136194.4
1960,141945
1961,113700
1962,90440
1963,90380
1964,113460
1965,182355
1966,164786
1967,290171.54
1968,279000
1969,382915.68
1970,402575
1971,432179.16
1972,339176.9
1973,271860
1974,333574
1975,364815
1976,263520.26
1977,410700
1978,406660
1979,306700
1980,227839.6
1981,366284.84
1982,226737.12
1983,218778.56
1984,165670
1985,188550
1986,218920
1987,218822.6
1988,177550
1989,182786.56
1990,222900
1991,220994
1992,217214
1993,182497.36
1994,274440
1995,185890
1996,255500
1997,295576.26
1998,424340
1999,247931.6
2000,287539.64
2001,261858
2002,256602
2003,232051.36
2004,264016
2005,241880
2006,211640
2007,227770
2008,204788
2009,200180
2010,225990
2011,147302
2012,187385
2013,187714
2014,187500
2015,200392
2016,200310
2017,198940
2018,119720
2019,137690.4
2020,109710
2021,125340
2022,176300
2023,158720
2024,207140
2025,322543.42
2026,173190
2027,80420
2028,145852.16
2029,176340
2030,272215.84
2031,274397.92
2032,272719.04
2033,272103.76
2034,158200
2035,191222
2036,248276.8
2037,247782.7
2038,325176.1
2039,190320
2040,439919.88
2041,245360.98
2042,191240
2043,207660
2044,200608
2045,253570
2046,135777.2
2047,166362
2048,147000
2049,142640
2050,148148
2051,65446
2052,151450
2053,141000
2054,119698
2055,172560
2056,116550
2057,134244
2058,188110
2059,139000
2060,134100
2061,154796
2062,139460
2063,83028
2064,156760
2065,100200
2066,201958
2067,114474
2068,136579.2
2069,76549.02
2070,117130
2071,97562
2072,150972
2073,131126
2074,176640
2075,167908
2076,126590
2077,155380
2078,122820
2079,125690
2080,129275.64
2081,110900
2082,115150
2083,169210
2084,123810
2085,127830
2086,109480
2087,125060
2088,102400
2089,82902
2090,123240
2091,127860
2092,151418
2093,139760
2094,126674
2095,161620
2096,74219.02
2097,113350
2098,153384
2099,45643.3
2100,95910
2101,97320
2102,129672
2103,123230
2104,90000
2105,173960
2106,49340
2107,168160
2108,139025
2109,128013
2110,109402
