Id,MSSubClass,LotFrontage,LotArea,Street,Alley,LotShape,LandSlope,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,ExterQual,ExterCond,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,MiscVal,MoSold,YrSold,SalePrice
1,60,65,8450,1,0,0,0,7,5,2003,2003,196,3,2,95,3,1,6,706,1,0,150,856,4,1,856,854,0,1710,1,0,2,1,3,1,3,8,7,0,0,2,2,548,3,3,2,0,61,0,0,0,0,0,0,2,2008,208500
2,20,80,9600,1,0,0,0,6,8,1976,1976,0,2,2,95,3,4,5,978,1,0,284,1262,4,1,1262,0,0,1262,0,1,2,0,3,1,2,6,7,1,3,2,2,460,3,3,2,298,0,0,0,0,0,0,0,5,2007,181500
3,60,68,11250,1,0,1,0,7,5,2001,2002,162,3,2,95,3,2,6,486,1,0,434,920,4,1,920,866,0,1786,1,0,2,1,3,1,3,6,7,1,3,2,2,608,3,3,2,0,42,0,0,0,0,0,0,9,2008,223500
4,70,60,9550,1,0,1,0,7,5,1915,1970,0,2,2,85,4,1,5,216,1,0,540,756,3,1,961,756,0,1717,1,0,1,0,3,1,3,7,7,1,4,1,3,642,3,3,2,0,35,272,0,0,0,0,0,2,2006,140000
5,60,84,14260,1,0,1,0,8,5,2000,2000,350,3,2,95,3,3,6,655,1,0,490,1145,4,1,1145,1053,0,2198,1,0,2,1,4,1,3,9,7,1,3,2,3,836,3,3,2,192,84,0,0,0,0,0,0,12,2008,250000
6,50,85,14115,1,0,1,0,5,5,1993,1995,0,2,2,95,3,1,6,732,1,0,64,796,4,1,796,566,0,1362,1,0,1,1,1,1,2,5,7,0,0,1,2,480,3,3,2,40,30,0,320,0,0,0,700,10,2009,143000
7,20,75,10084,1,0,0,0,8,5,2004,2005,186,3,2,105,3,3,6,1369,1,0,317,1686,4,1,1694,0,0,1694,1,0,2,0,3,1,3,7,7,1,4,2,2,636,3,3,2,255,57,0,0,0,0,0,0,8,2007,307000
8,60,0,10382,1,0,1,0,7,6,1973,1973,240,2,2,95,3,2,5,859,4,32,216,1107,4,1,1107,983,0,2090,1,0,2,1,3,1,2,7,7,2,3,2,2,484,3,3,2,235,204,228,0,0,0,0,350,11,2009,200000
9,50,51,6120,1,0,0,0,7,5,1931,1950,0,2,2,85,3,1,1,0,1,0,952,952,3,1,1022,752,0,1774,0,0,2,0,2,2,2,8,6,2,3,1,2,468,2,3,2,90,0,205,0,0,0,0,0,4,2008,129900
10,190,50,7420,1,0,0,0,5,6,1939,1950,0,2,2,85,3,1,6,851,1,0,140,991,4,1,1077,0,0,1077,1,0,1,0,2,2,2,5,7,2,3,2,1,205,4,3,2,0,4,0,0,0,0,0,0,1,2008,118000
11,20,70,11200,1,0,0,0,5,5,1965,1965,0,2,2,85,3,1,3,906,1,0,134,1040,4,1,1040,0,0,1040,1,0,1,0,3,1,2,5,7,0,0,1,1,384,3,3,2,0,0,0,0,0,0,0,0,2,2008,129500
12,60,85,11924,1,0,1,0,9,5,2005,2006,286,4,2,105,3,1,6,998,1,0,177,1175,4,1,1182,1142,0,2324,1,0,3,0,4,1,4,11,7,2,4,3,3,736,3,3,2,147,21,0,0,0,0,0,0,7,2006,345000
13,20,0,12968,1,0,2,0,5,6,1962,1962,0,2,2,85,3,1,5,737,1,0,175,912,2,1,912,0,0,912,1,0,1,0,2,1,2,4,7,0,0,1,1,352,3,3,2,140,0,0,0,176,0,0,0,9,2008,144000
14,20,91,10652,1,0,1,0,7,5,2006,2007,306,3,2,95,3,3,1,0,1,0,1494,1494,4,1,1494,0,0,1494,0,0,2,0,3,1,3,7,7,1,4,2,3,840,3,3,2,160,33,0,0,0,0,0,0,8,2007,279500
15,20,0,10920,1,0,1,0,6,5,1960,1960,212,2,2,85,3,1,4,733,1,0,520,1253,2,1,1253,0,0,1253,1,0,1,1,2,1,2,5,7,1,2,2,1,352,3,3,2,0,213,176,0,0,0,0,0,5,2008,157000
16,45,51,6120,1,0,0,0,7,8,1929,2001,0,2,2,85,3,1,1,0,1,0,832,832,4,1,854,0,0,854,0,0,1,0,2,1,2,5,7,0,0,1,2,576,3,3,2,48,112,0,0,0,0,0,0,7,2007,132000
17,20,0,11241,1,0,1,0,6,7,1970,1970,180,2,2,85,3,1,5,578,1,0,426,1004,4,1,1004,0,0,1004,1,0,1,0,2,1,2,5,7,1,3,3,2,480,3,3,2,0,0,0,0,0,0,0,700,3,2010,149000
18,90,72,10791,1,0,0,0,4,5,1967,1967,0,2,2,0,0,0,0,0,0,0,0,0,2,1,1296,0,0,1296,0,0,2,0,2,2,2,6,7,0,0,1,2,516,3,3,2,0,0,0,0,0,0,0,500,10,2006,90000
19,20,66,13695,1,0,0,0,5,5,2004,2004,0,2,2,85,3,1,6,646,1,0,468,1114,4,1,1114,0,0,1114,1,0,1,1,3,1,3,6,7,0,0,1,2,576,3,3,2,0,102,0,0,0,0,0,0,6,2008,159000
20,20,70,7560,1,0,0,0,5,6,1958,1965,0,2,2,85,3,1,2,504,1,0,525,1029,2,1,1339,0,0,1339,0,0,1,0,3,1,2,6,6,0,0,1,1,294,3,3,2,0,0,0,0,0,0,0,0,5,2009,139000
21,60,101,14215,1,0,1,0,8,5,2005,2006,380,3,2,105,3,3,1,0,1,0,1158,1158,4,1,1158,1218,0,2376,0,0,3,1,4,1,3,9,7,1,4,2,3,853,3,3,2,240,154,0,0,0,0,0,0,11,2006,325300
22,45,57,7449,1,1,0,0,7,7,1930,1950,0,2,2,85,3,1,1,0,1,0,637,637,4,1,1108,0,0,1108,0,0,1,0,3,1,3,6,7,1,4,1,1,280,3,3,0,0,0,205,0,0,0,0,0,6,2007,139400
23,20,75,9742,1,0,0,0,8,5,2002,2002,281,3,2,95,3,1,1,0,1,0,1777,1777,4,1,1795,0,0,1795,0,0,2,0,3,1,3,7,7,1,4,2,2,534,3,3,2,171,159,0,0,0,0,0,0,9,2008,230000
