LotFrontage,LotArea,LotShape,OverallQual,YearBuilt,YearRemodAdd,MasVnrArea,ExterQual,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,SalePrice
65,8450,0,7,2003,2003,196,3,95,3,1,6,706,150,856,4,1,856,854,1710,1,2,1,3,8,0,0,2,2,548,3,3,2,0,61,208500
80,9600,0,6,1976,1976,0,2,95,3,4,5,978,284,1262,4,1,1262,0,1262,0,2,0,2,6,1,3,2,2,460,3,3,2,298,0,181500
68,11250,1,7,2001,2002,162,3,95,3,2,6,486,434,920,4,1,920,866,1786,1,2,1,3,6,1,3,2,2,608,3,3,2,0,42,223500
60,9550,1,7,1915,1970,0,2,85,4,1,5,216,540,756,3,1,961,756,1717,1,1,0,3,7,1,4,1,3,642,3,3,2,0,35,140000
84,14260,1,8,2000,2000,350,3,95,3,3,6,655,490,1145,4,1,1145,1053,2198,1,2,1,3,9,1,3,2,3,836,3,3,2,192,84,250000
85,14115,1,5,1993,1995,0,2,95,3,1,6,732,64,796,4,1,796,566,1362,1,1,1,2,5,0,0,1,2,480,3,3,2,40,30,143000
75,10084,0,8,2004,2005,186,3,105,3,3,6,1369,317,1686,4,1,1694,0,1694,1,2,0,3,7,1,4,2,2,636,3,3,2,255,57,307000
0,10382,1,7,1973,1973,240,2,95,3,2,5,859,216,1107,4,1,1107,983,2090,1,2,1,2,7,2,3,2,2,484,3,3,2,235,204,200000
51,6120,0,7,1931,1950,0,2,85,3,1,1,0,952,952,3,1,1022,752,1774,0,2,0,2,8,2,3,1,2,468,2,3,2,90,0,129900
50,7420,0,5,1939,1950,0,2,85,3,1,6,851,140,991,4,1,1077,0,1077,1,1,0,2,5,2,3,2,1,205,4,3,2,0,4,118000
70,11200,0,5,1965,1965,0,2,85,3,1,3,906,134,1040,4,1,1040,0,1040,1,1,0,2,5,0,0,1,1,384,3,3,2,0,0,129500
85,11924,1,9,2005,2006,286,4,105,3,1,6,998,177,1175,4,1,1182,1142,2324,1,3,0,4,11,2,4,3,3,736,3,3,2,147,21,345000
0,12968,2,5,1962,1962,0,2,85,3,1,5,737,175,912,2,1,912,0,912,1,1,0,2,4,0,0,1,1,352,3,3,2,140,0,144000
91,10652,1,7,2006,2007,306,3,95,3,3,1,0,1494,1494,4,1,1494,0,1494,0,2,0,3,7,1,4,2,3,840,3,3,2,160,33,279500
0,10920,1,6,1960,1960,212,2,85,3,1,4,733,520,1253,2,1,1253,0,1253,1,1,1,2,5,1,2,2,1,352,3,3,2,0,213,157000
51,6120,0,7,1929,2001,0,2,85,3,1,1,0,832,832,4,1,854,0,854,0,1,0,2,5,0,0,1,2,576,3,3,2,48,112,132000
0,11241,1,6,1970,1970,180,2,85,3,1,5,578,426,1004,4,1,1004,0,1004,1,1,0,2,5,1,3,3,2,480,3,3,2,0,0,149000
72,10791,0,4,1967,1967,0,2,0,0,0,0,0,0,0,2,1,1296,0,1296,0,2,0,2,6,0,0,1,2,516,3,3,2,0,0,90000
66,13695,0,5,2004,2004,0,2,85,3,1,6,646,468,1114,4,1,1114,0,1114,1,1,1,3,6,0,0,1,2,576,3,3,2,0,102,159000
70,7560,0,5,1958,1965,0,2,85,3,1,2,504,525,1029,2,1,1339,0,1339,0,1,0,2,6,0,0,1,1,294,3,3,2,0,0,139000
101,14215,1,8,2005,2006,380,3,105,3,3,1,0,1158,1158,4,1,1158,1218,2376,0,3,1,3,9,1,4,2,3,853,3,3,2,240,154,325300
57,7449,0,7,1930,1950,0,2,85,3,1,1,0,637,637,4,1,1108,0,1108,0,1,0,3,6,1,4,1,1,280,3,3,0,0,0,139400
