Id,MSSubClass,LotFrontage,LotArea,Street,Alley,LotShape,LandSlope,OverallCond,MasVnrArea,ExterCond,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,HeatingQC,CentralAir,2ndFlrSF,LowQualFinSF,BsmtFullBath,BsmtHalfBath,HalfBath,BedroomAbvGr,KitchenAbvGr,Functional,Fireplaces,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,MiscVal,MoSold,YrSold,SalePrice
1,60,65,8450,1,0,0,0,5,196,2,95,3,1,6,706,1,0,150,4,1,854,0,1,0,1,3,1,7,0,3,3,2,0,61,0,0,0,0,0,0,2,2008,208500
2,20,80,9600,1,0,0,0,8,0,2,95,3,4,5,978,1,0,284,4,1,0,0,0,1,0,3,1,7,1,3,3,2,298,0,0,0,0,0,0,0,5,2007,181500
3,60,68,11250,1,0,1,0,5,162,2,95,3,2,6,486,1,0,434,4,1,866,0,1,0,1,3,1,7,1,3,3,2,0,42,0,0,0,0,0,0,9,2008,223500
4,70,60,9550,1,0,1,0,5,0,2,85,4,1,5,216,1,0,540,3,1,756,0,1,0,0,3,1,7,1,3,3,2,0,35,272,0,0,0,0,0,2,2006,140000
5,60,84,14260,1,0,1,0,5,350,2,95,3,3,6,655,1,0,490,4,1,1053,0,1,0,1,4,1,7,1,3,3,2,192,84,0,0,0,0,0,0,12,2008,250000
6,50,85,14115,1,0,1,0,5,0,2,95,3,1,6,732,1,0,64,4,1,566,0,1,0,1,1,1,7,0,3,3,2,40,30,0,320,0,0,0,700,10,2009,143000
7,20,75,10084,1,0,0,0,5,186,2,105,3,3,6,1369,1,0,317,4,1,0,0,1,0,0,3,1,7,1,3,3,2,255,57,0,0,0,0,0,0,8,2007,307000
8,60,0,10382,1,0,1,0,6,240,2,95,3,2,5,859,4,32,216,4,1,983,0,1,0,1,3,1,7,2,3,3,2,235,204,228,0,0,0,0,350,11,2009,200000
9,50,51,6120,1,0,0,0,5,0,2,85,3,1,1,0,1,0,952,3,1,752,0,0,0,0,2,2,6,2,2,3,2,90,0,205,0,0,0,0,0,4,2008,129900
10,190,50,7420,1,0,0,0,6,0,2,85,3,1,6,851,1,0,140,4,1,0,0,1,0,0,2,2,7,2,4,3,2,0,4,0,0,0,0,0,0,1,2008,118000
11,20,70,11200,1,0,0,0,5,0,2,85,3,1,3,906,1,0,134,4,1,0,0,1,0,0,3,1,7,0,3,3,2,0,0,0,0,0,0,0,0,2,2008,129500
12,60,85,11924,1,0,1,0,5,286,2,105,3,1,6,998,1,0,177,4,1,1142,0,1,0,0,4,1,7,2,3,3,2,147,21,0,0,0,0,0,0,7,2006,345000
13,20,0,12968,1,0,2,0,6,0,2,85,3,1,5,737,1,0,175,2,1,0,0,1,0,0,2,1,7,0,3,3,2,140,0,0,0,176,0,0,0,9,2008,144000
14,20,91,10652,1,0,1,0,5,306,2,95,3,3,1,0,1,0,1494,4,1,0,0,0,0,0,3,1,7,1,3,3,2,160,33,0,0,0,0,0,0,8,2007,279500
15,20,0,10920,1,0,1,0,5,212,2,85,3,1,4,733,1,0,520,2,1,0,0,1,0,1,2,1,7,1,3,3,2,0,213,176,0,0,0,0,0,5,2008,157000
16,45,51,6120,1,0,0,0,8,0,2,85,3,1,1,0,1,0,832,4,1,0,0,0,0,0,2,1,7,0,3,3,2,48,112,0,0,0,0,0,0,7,2007,132000
17,20,0,11241,1,0,1,0,7,180,2,85,3,1,5,578,1,0,426,4,1,0,0,1,0,0,2,1,7,1,3,3,2,0,0,0,0,0,0,0,700,3,2010,149000
18,90,72,10791,1,0,0,0,5,0,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,2,7,0,3,3,2,0,0,0,0,0,0,0,500,10,2006,90000
19,20,66,13695,1,0,0,0,5,0,2,85,3,1,6,646,1,0,468,4,1,0,0,1,0,1,3,1,7,0,3,3,2,0,102,0,0,0,0,0,0,6,2008,159000
20,20,70,7560,1,0,0,0,6,0,2,85,3,1,2,504,1,0,525,2,1,0,0,0,0,0,3,1,6,0,3,3,2,0,0,0,0,0,0,0,0,5,2009,139000
21,60,101,14215,1,0,1,0,5,380,2,105,3,3,1,0,1,0,1158,4,1,1218,0,0,0,1,4,1,7,1,3,3,2,240,154,0,0,0,0,0,0,11,2006,325300
22,45,57,7449,1,1,0,0,7,0,2,85,3,1,1,0,1,0,637,4,1,0,0,0,0,0,3,1,7,1,3,3,0,0,0,205,0,0,0,0,0,6,2007,139400
23,20,75,9742,1,0,0,0,5,281,2,95,3,1,1,0,1,0,1777,4,1,0,0,0,0,0,3,1,7,1,3,3,2,171,159,0,0,0,0,0,0,9,2008,230000
24,120,44,4224,1,0,0,0,7,0,2,95,3,1,6,840,1,0,200,2,1,0,0,1,0,0,3,1,7,1,3,3,2,100,110,0,0,0,0,0,0,6,2007,129900
25,20,0,8246,1,0,1,0,8,0,3,85,3,2,3,188,5,668,204,4,1,0,0,1,0,0,3,1,7,1,3,3,2,406,90,0,0,0,0,0,0,5,2010,154000
26,20,110,14230,1,0,0,0,5,640,2,95,3,1,1,0,1,0,1566,4,1,0,0,0,0,0,3,1,7,1,3,3,2,0,56,0,0,0,0,0,0,7,2009,256300
27,20,60,7200,1,0,0,0,7,0,2,85,3,2,4,234,3,486,180,2,1,0,0,0,1,0,3,1,7,0,3,3,2,222,32,0,0,0,0,0,0,5,2010,134800
28,20,98,11478,1,0,0,0,5,200,2,105,3,1,6,1218,1,0,486,4,1,0,0,1,0,0,3,1,7,1,3,3,2,0,50,0,0,0,0,0,0,5,2010,306000
